Window training time,Source ID,Collection time,Publishing time,Preprocessing time start,Preprocessing time end,Data arrival time
3958921399,c4672d96,1749932525.8850377,3958921397.289679,3958921399.197428,3958921399.345967,1749932528.1102388
3958921399,c4672d96,1749932525.8850377,3958921397.289679,3958921399.197428,3958921399.345967,1749932528.1569765
3958921401,a2460651,1749932527.7671173,3958921399.1899,3958921401.1012616,3958921401.2544045,1749932530.0254931
3958921401,a2460651,1749932527.7671173,3958921399.1899,3958921401.1012616,3958921401.2544045,1749932530.1707602
3958921403,0ff69e4e,1749932529.7450285,3958921401.1397057,3958921403.110524,3958921403.2991138,1749932531.95048
3958921403,0ff69e4e,1749932529.7450285,3958921401.1397057,3958921403.110524,3958921403.2991138,1749932532.0967913
3958921405,a2460651,1749932531.7107937,3958921403.105216,3958921405.0401497,3958921405.162201,1749932533.9139597
3958921405,a2460651,1749932531.7107937,3958921403.105216,3958921405.0401497,3958921405.162201,1749932533.970258
3958921407,902cf9f4,1749932533.6329794,3958921405.0344105,3958921407.0075827,3958921407.132959,1749932535.773858
3958921407,902cf9f4,1749932533.6329794,3958921405.0344105,3958921407.0075827,3958921407.132959,1749932535.9073765
3958921408,c4672d96,1749932535.5965047,3958921406.9985027,3958921408.983728,3958921409.1185355,1749932537.8643818
3958921408,c4672d96,1749932535.5965047,3958921406.9985027,3958921408.983728,3958921409.1185355,1749932537.9430084
3958921411,a2460651,1749932537.6180959,3958921409.018849,3958921411.085226,3958921411.251582,1749932540.0116313
3958921411,a2460651,1749932537.6180959,3958921409.018849,3958921411.085226,3958921411.251582,1749932540.1817682
3958921413,330a8659,1749932539.669791,3958921411.0756965,3958921413.10263,3958921413.3626432,1749932542.122087
3958921413,330a8659,1749932539.669791,3958921411.0756965,3958921413.10263,3958921413.3626432,1749932542.3011513
3958921415,330a8659,1749932541.6938095,3958921413.096736,3958921415.0553036,3958921415.267705,1749932544.0228572
3958921415,330a8659,1749932541.6938095,3958921413.096736,3958921415.0553036,3958921415.267705,1749932544.1947267
3958921416,50f9fea2,1749932543.6543427,3958921415.049276,3958921416.979067,3958921417.2203283,1749932545.9710379
3958921416,50f9fea2,1749932543.6543427,3958921415.049276,3958921416.979067,3958921417.2203283,1749932546.1109655
3958921418,330a8659,1749932545.6050904,3958921417.0003014,3958921418.86098,3958921419.1553173,1749932547.9043508
3958921418,330a8659,1749932545.6050904,3958921417.0003014,3958921418.86098,3958921419.1553173,1749932548.1687899
3959098078,37f483c2,1750109195.6678343,3959098075.567456,3959098078.094053,3959098078.2316685,1750109204.8341835
3959098080,37f483c2,1750109198.1890738,3959098078.09251,3959098080.0409956,3959098080.1639137,1750109205.958838
3959098081,50931061,1750109200.1266348,3959098080.0336227,3959098081.961186,3959098082.1073565,1750109206.8196995
3959098083,50931061,1750109202.160199,3959098082.0658307,3959098083.988608,3959098084.173403,1750109207.1065059
3959098086,73cc0ebb,1750109204.0879862,3959098083.9824996,3959098086.023574,3959098086.1743693,1750109207.4365482
3959098087,50931061,1750109206.1159937,3959098086.011831,3959098087.9478884,3959098088.067395,1750109208.217392
3959098090,73cc0ebb,1750109208.0272322,3959098087.9381013,3959098090.0284724,3959098090.16824,1750109210.4352782
3959098091,406fed66,1750109210.1113465,3959098090.017759,3959098091.9203525,3959098092.0597577,1750109212.2318828
3959098093,31166487,1750109212.0625958,3959098091.9604764,3959098093.89131,3959098094.0512285,1750109214.2387207
3959098095,50931061,1750109213.9660308,3959098093.8689,3959098095.8567896,3959098096.0166397,1750109216.173587
