Window training time,Source ID,Collection time,Publishing time,Polling time,Preprocessing time start,Preprocessing time end,Data arrival time,training_epoch_start,training_epoch_end,training_round_start,training_round_end,local_model_size,global_model_size
3959098109,50931061,1750109227.620732,3959098107.5260825,3959098107.9237127,3959098109.512112,3959098109.6397195,3959098109.6677814,1750109229.7803998,1750109230.6466622,0,1750109227.4263062,,55315,55389
3959098109,50931061,1750109227.620732,3959098107.5260825,3959098107.9237127,3959098109.512112,3959098109.6397195,3959098109.696936,1750109229.811337,1750109230.7470007,0,1750109227.3544285,,55315,55389
3959098109,50931061,1750109227.620732,3959098107.5260825,3959098107.9237127,3959098109.512112,3959098109.6397195,3959098109.8661113,1750109229.978852,1750109230.8737628,0,1750109227.3342175,,55315,55389
3959098111,31166487,1750109229.6039913,3959098109.505613,3959098109.8664637,3959098111.4473634,3959098111.5786943,3959098111.6174498,1750109231.7300463,1750109232.46683,0,1750109227.4263062,1750109232.4668338,55315,55389
3959098111,31166487,1750109229.6039913,3959098109.505613,3959098109.8664637,3959098111.4473634,3959098111.5786943,3959098111.6711316,1750109231.783867,1750109232.564785,0,1750109227.3544285,1750109232.564789,55315,55389
3959098111,31166487,1750109229.6039913,3959098109.505613,3959098109.8664637,3959098111.4473634,3959098111.5786943,3959098111.927442,1750109232.0400765,1750109232.807928,0,1750109227.3342175,1750109232.807932,55315,55389
3959098113,37f483c2,1750109231.53992,3959098111.441946,3959098111.9555516,3959098113.447076,3959098113.5551763,3959098113.6962748,1750109233.8087225,1750109234.494669,0,1750109233.0843298,,55315,55389
3959098113,37f483c2,1750109231.53992,3959098111.441946,3959098111.9555516,3959098113.447076,3959098113.5551763,3959098113.834352,1750109233.9469287,1750109234.596981,0,1750109233.142814,,55315,55389
3959098113,37f483c2,1750109231.53992,3959098111.441946,3959098111.9555516,3959098113.447076,3959098113.5551763,3959098113.918092,1750109234.0318155,1750109234.7018588,0,1750109233.0319703,,55315,55389
3959098115,31166487,1750109233.5340722,3959098113.437816,3959098113.940965,3959098115.4131656,3959098115.5378838,3959098115.56842,1750109235.6808572,1750109236.5089355,0,1750109233.0843298,,55315,55389
